,a,a,a,a,a
འ,a:,a,a,a,a
ག,ak,əx,ak,ak,ak
གས,ak,əx,ak,ak,ak
ང,ang,əng,ang,ang,an
ངས,ang~,əng,ang,ang,an
ད,ä',ɛt,e,e,e
ན,än,ɛn,en,en,en
བ,ap,ab,ab,ab,ab
བས,ap,ab,ab,ab,ab
མ,am,am,am,am,am
མས,am~,am,am,am,am
ལ,äl,ɛl,al,al ,al 
འི,äj,ɨ,e,e,ei
འིའོ,a|-i|-o,i|wo,e'o,eo,ao
འོ,a|-o,a|o,a'o,ao,ao
འང,a|-ang,a|wang,ang,ang,an
འམ,a|-am,a:m,am,am,am
ར,ar,ər,ar,ar,ar
ས,ä',e,e,e,e
ི,i,i,i,i,i
ིག,ik,ɨx,ik,ik,ik
ིགས,ik,ɨx,ik,ik,ik
ིང,ing,ang,ing,ing,in
ིངས,ing~,ang,ing,ing,in
ིད,i',it,i,i,i
ིན,in,in,in,in,in
ིབ,ip,ib,ib,ib,ib
ིབས,ip,ib,,,
ིམ,im,im,im,im,im
ིམས,im~,im,im,im,im
ིལ,il,il,il,il,il
ིའི,i:,i:,i,i,i
ིའིའོ,i:|-o,,i'o,io,io
ིའོ,i|-o,,i'o,io,io
ིའང,i|-ang,,i'ang,iang,ian
ིའམ,i|-am,,i'am,iam,iam
ིར,ir,ir,ir,ir,ir
ིས,i',i,i,i,i
ུ,u,u,u,u,u
ུག,uk,ɨx,uk,uk,uk
ུགས,uk,ɨx,uk,uk,uk
ུང,ung,ong,ung,ung,un
ུངས,ung~,ong,ung,ung,un
ུད,ü',ut,ü,ü,ü
ུན,ün,un,ün,ün,ün
ུབ,up,ub,ub,ub,ub
ུབས,up,ub,ub,ub,ub
ུམ,um,um,um,um,um
ུམས,um~,um,um,um,um
ུལ,ül,ul,ul,ul,ül
ུའི,üj,ɨ,ü,y,ü
ུའིའོ,u|-i|-o,,ü'o,yo,üo
ུའོ,u|-o,,ü'o,yo,uo
ུའང,u|-ang,,u'ang,uang,uan
ུའམ,u|-am,,u'am,uam,uam
ུར,ur,ur,ur,ur,ur
ུས,ü',i,ü,y,ü
ེ,e,e,e,e,e
ེག,ek,əx,ek,ek,ek
ེགས,ek,əx,ek,ek,ek
ེང,eng,ang,eng,eng,en
ེངས,eng~,ang,eng,eng,en
ེད,e',et,e,e,e
ེན,en,en,en,en,en
ེབ,ep,eb,eb,eb,eb
ེབས,ep,eb,eb,eb,eb
ེམ,em,em,em,em,em
ེམས,em~,em,em,em,em
ེལ,el,el,el,el,el
ེའི,ej,,e,e,ei
ེའིའོ,e|-i|-o,,e'o,eo,eio
ེའོ,e|-o,,e'o,eo,eo
ེའང,e|-ang,,e'ang,eang,ean
ེའམ,e|-am,,e'am,eam,eam
ེར,er,er,er,er,er
ེས,e',i,e,e,e
ོ,o,o,o,o,o
ོག,ok,ox,ok,ok,ok
ོགས,ok,ox,ok,ok,ok
ོང,ong,ong,ong,ong,on
ོངས,ong~,ong,ong,ong,on
ོད,ö',ot,ö,ö,ö
ོན,ön,wən,ön,ön,ön
ོབ,op,ob,ob,ob,ob
ོབས,op,ob,ob,ob,ob
ོམ,om,om,om,om,om
ོམས,om~,om,om,om,om
ོལ,öl,ol,ol,ol,öl
ོའི,öj,,ö,ö,ö
ོའིའོ,o|-i|-o,,o,öo,öo
ོའོ,o|-o,,o,oo,oo
ོའང,o|-ang,,o'ang,oang,oan
ོའམ,o|-am,,o'am,oam,oam
ོར,or,or,or,or,or
ོས,ö',i,ö,ö,ö
འུ,a|-u,-u,a'u,au,au
འུའི,a|-u|-i,,a'u,au,au
འུའིའོ,a|-u|-i|-o,,a'u'o,auo,auyo
འུའོ,a|-u|-o,,a'u'o,auo,auo
འུའང,a|-u|-ang,,a'u'ang,auang,auan
འུའམ,a|-u|-am,,a'u'am,auam,auam
འུར,a|-ur,ur,a'ur,aur,aur
འུས,a|-ü',i,a'u,au,au
ིའུ,i|-u,u,i'u,iu,iu
ིའུའི,i|-u|-i,,i'ü,iy,iü
ིའུའིའོ,i|-u|-i|-o,,i'ü'o,iyo,iuyo
ིའུའོ,i|-u|-o,,i'u'o,iuo,iuo
ིའུའང,i|-u|-ang,,i'u'ang,iuang,iuan
ིའུའམ,i|-u|-am,,i'u'am,iuam,iuam
ིའུར,i|-ur,,i'ur,iur,iur
ིའུས,i|-ü',,i'ü,iy,iü
ུའུ,u|-u,u,u'u,uu,uu
ུའུའི,u|-u|-i,u,u'ü,uy,uü
ུའུའིའོ,u|-u|-i|-o,,u'ü'o,uyo,uyo
ུའུའོ,u|-u|-o,,u'u'o,uuo,uuo
ུའུའང,u|-u|-ang,,u'u'ang,uuang,uuan
ུའུའམ,u|-u|-am,,u'u'am,uuam,uuam
ུའུར,u|-ur,,e'ur,eur,eur
ུའུས,u|-ü',,e'ü,ey,eü
ེའུ,e|-u,u,e'u,eu,eu
ེའུའི,e|-u|-i,,e'ü,ey,eü
ེའུའིའོ,e|-u|-i|-o,,e'ü'o,eyo,euyo
ེའུའོ,e|-u|-o,,e'u'o,euo,euo
ེའུའང,e|-u|-ang,,e'u'ang,euang,euang
ེའུའམ,e|-u|-am,,e'u'am,euam,euam
ེའུར,e|-ur,,e'ur,eur,eur
ེའུས,e|-ü',,e'ü,ey,eü
ོའུ,o|-u,u,o'u,ou,ou
ོའུའི,o|-u|-i,,o'ü,oy,oü
ོའུའིའོ,o|-u|-i|-o,,o'ü'o,oyo,ouyo
ོའུའོ,o|-u|-o,,o'u'o,ouo,ouo
ོའུའང,o|-u|-ang,,o'u'ang,ouang,ouan
ོའུའམ,o|-u|-am,,o'u'am,ouam,ouam
ོའུར,o|-ur,,o'ur,our,our
ོའུས,o|-ü',,o'ü,oy,oü
