# transforming all the time, will be fixed manually,
བ/Ca,w-,
བོ/Co,w-,
# KVP exceptions,,
བཀྲ་ཤིས,ta-shi,
སྤྲུལ་སྐུ/Cu,tulk-,
སློབ་དཔོན,lop-ön,
འབྲུག་པ/Ca,drukp-,
མི་ཕམ,miph-am,
ངག་དབང,ngaw-an,
སྤྱན་རས་གཟིགས,tchenrez-i,
སྣར་ཐང,narth-an,
ཞེ་ཆེན,jetch’-en,
ཞྭ་ལུ/Cu,jal-u,
གཏོང་ལེན,tonl-en,
རིན་པོ་ཆེ/Ce,rinpotch’-,
འཕོ་བ/Ca,p’ow-,
ཐང་ཀ/Ca,t’ank’-,
བར་དོ/Co,bard-,
གཅོད,tch-ö,
# Exception from THL (not taking nasalizations),,
རྡོ་རྗེ/Ce,dordj-,
བླ་བྲང,lab-ran,
#འབྲི་རུ/Cu,bir-,
ལྷ་རྗེ/Ce,lharj-,
ཨུ་རྒྱན,urgy-en,
ཨོ་རྒྱན,orgy-en,
# NT p. 60,,
ཨ་གསར,aks-ar,
ས་གདན,sabd-en,
ཁ་གཅོད,k’ab tch-ö,
# dba becomes wa,,
དབ/Cb,w-,
# numbers, from NT Annex 1, completed by Drupchen
བཅུ་གཅིག,tchu tch-i,
བཅུ་གཉིས,tchu ny-i,
བཅུ་གསུམ,tchus-um,
བཅུ་བཞི/Ci,tchubj-,
བཅུ་བདུན,tchubd-un,
བཅོ་བརྒྱད,tchob dj-e,
རྩ་བཞི/Ci,tsabj-,
རྩ་བདུན,tsabd-un,
རྩ་བརྒྱད,tsab dj-e,
སོ་བརྒྱད,sob dj-e,
བཞི་བཅུ/Cu,jib tch-,
ལྔ་བཅུ/Cu,ngab tch-,
ང་བཞི/Ci,ngab j-,
དགུ་བཅུ/Cu,gub tch-,
# Sanskrit (TODO: check),,
པདྨ/Ca,pem-,
ཀརྨ/Ca,karm-,
# NT Annex 1, nasalizer,
ཞབས་འདེགས,shamd-e,
ཞིབ་འཇུག,jimdj-u,
#མིག་འཁྲུལ,mingtr-ul,
སྔོན་འགྲོ/Co,ngöndr-,
སྨོན་འདུན,mönd-un,
#དཔལ་འབར,pemb-ar,
དམའ་འབེབས,mamb-eb,
ཤ་འབྲས,shamdr-e,
#དགེ་འདུན,gend-un,
མི་འདུག,mind-u,
#བོད་ལྗོངས,bönj-ong,
#དུས་འཁོར,thungkh-or,
གསར་འགྱུར,san dj-ur,
རྒྱུ་མཚན,djumts’-en,
རྒྱ་མཚོ/Co,djamts’-,
བོད་ཟླ/Ca,bönd-,
ད་ལྟ/Ca,tand-,
#སྟོབས་ལྡན,tomd-en,
#ཡུལ་ལྗོངས,junj-on,
#འབྲས་ལྗོངས,drenj-ong,
#ཡལ་ག/Ca,yeng-,
དགའ་ལྡན,gand-en,
#གསོལ་འདེབས,sönd-eb,
དུད་འགྲོ/Co,dündr-,
#འཐབ་འཛིང,tamdz-ing,
སྐུ་འབུམ,kumb-um,
ཡར་འབྲོ/Co,yamdr-,
གཡུ་མཚོ/Co,yumts’-,
#བདག་འཛིན,dandz-in,
སྐྱབས་འགྲོ/Co,tchamdr-,
#ཁ་འདོན,k’and-ön,
ཞལ་འདེབས,jend-eb,
རྟེན་འབྲེལ,tendr-el,
#རྒྱལ་མཚན,gyents-en,
སྐུ་མདུན,kund-ün,
ཕྱག་མཛོད,tch’andz-ö,
#ལྷ་མཛེས,lhandz-e,
#ལོ་མཆོད,lomch-ö,
# THL nasalizations,,
བཀའ་འགྱུར,kandj-ur,
ངོས་འཛིན,ngöndz-in,
#རིག་འཛིན,rindz-in,
མཁའ་འགྲོ/Co,k’andr-,
#དཀྱིལ་འཁོར,kyinkh-or,
# ཆོས་འཕེལ,chömp-el (noted chöpel in the document),
#དཔལ་འབྱོར,penj-or,
རྒྱུ་འབྲས,djundr-e,
ཨ་མདོ/Co,amd-,
མེ་མད/Cc,mend-,
#རྒྱལ་རྩེ/Ce,gyents-,
ཆབ་མདོ/Co,tch’amd-,
རྟ་མགྲིན,tamdr-in,
# Nasalizations from Esukhia doc,,
འདི་ཚོ/Co,dints-,
དེ་ཚོ/Co,dents-,
སྐུ་འདྲ/Ca,kundr-,
གང་འདྲ/Ca,gandr-,
# l not pronounced,,
#གསལ་པོ/Co,sep-,
# Epenthesis, other difficulties, some from rigpa_exceptions.txt
ཡ་བཞི/Ci,yapj-,
ས་བཅད,sap tch-e,
#ཡང་ལེ་བེར, ?,
སྡེ་དགེ/Ce,derg-,
སློ་བཟང,lobz-an,
# from Perl module, padmakara_exceptions.txt,
མི་འབྲལ,mindr-el,
#མི་འབྱུང,minj-ung,
#མི་འདོད,mind-ö,
#མི་འགག,ming-ak,
མི་འགྱུར,mingy-ur,
རྒྱས་འདེབས,djendeb,
རྒྱུ་འགྲུལ,djundr-ul,
སྐྱེ་འགྲོ/Co,tchendr-,
སྐྱེ་མཆེད,tchemtch’-e,
སྤྱོད་འཇུག,tchön dj-u,
ཞེ་འདོད,shend-ön,
# from Perl module, rigpa_exceptions.txt,
དེ་འབྲེལ,dendr-el,
དེ་འདྲ/Ca,dendr-,
འདི་འདྲ/Ca,dindr-,
དཀའ་འགྲེལ,kandr-el,
ག་འདྲ/Ca,gandr-,
མི་ལྡོག,mind-o,
མཁས་འཇུག,k’en dj-u,
རེ་འདོད,rend-ö,
སྒྲོ་འདོགས,dron d-o,
#ཚེ་འཛིན,tsendz-in,
བདེ་མཆོག,demtch’-o,
ཆེ་མཆོག,tch’emtch’-o,
བདེ་འགྲོ/Co,dendr-,
# Other sources (oral),,
#བུ་འདོད,bund-ö,
# from མཚོ་མེ་འབར,,
#མེ་འབར,memb-ar,
# from Dordogne,,
ཡ་མཚན,yamts’-an,
#གོ་འཕང,gomp-ang,
འཕྲོ་འདུ/Cu,tr’ond-,
#སྤྲོ་བསྡུ/Co,tront-,
ན་བཟ/Cb,namz-,
མ་འགགས,man g-a,
