ཀ,k+,k,k,k,k
ཀྱ,ky+,c,ky,ky,tch
ཀྲ,tr+,tr,kr,kr,tr
ཀླ,l+,l,l,l,l
དཀ,k+,[r]k,k,k,k
དཀྱ,ky+,[r]c,ky,ky,ky
དཀྲ,tr+,[r]tr,tr,tr,tr
བཀ,k+,[b]k,k,k,k
བཀྱ,ky+,[b]c,ky,ky,tch
བཀྲ,tr+,[b]tr,tr,tr,tr
བཀླ,l+,[b]l,l,l,l
རྐ,k+,[r]k,k,k,k
རྐྱ,ky+,[r]c,ky,ky,tchi
ལྐ,k+,[l]k,k,k,k
སྐ,k+,[s]k,k,k,k
སྐྱ,ky+,[s]c,ky,ky,tchi
སྐྲ,tr+,[s]tr,tr,tr,tr
བརྐ,k+,[b]k,k,k,k
བརྐྱ,ky+,[b]c,ky,ky,tchi
བསྐ,k+,[b]k,k,k,k
བསྐྱ,ky+,[b]c,ky,ky,tchi
བསྐྲ,tr+,[b]tr,kr,tr,tr
ཁ,kh+,k+,kh,kh,k’
ཁྱ,khy+,c+,khy,khy,tch’i
ཁྲ,thr+,tr+,tr,tr,tr’
མཁ,~kh+,[m]k+,kh,kh,k’
མཁྱ,~khy+,[m]c+,khy,khy,tch’i
མཁྲ,~thr+,[m]tr+,tr,tr,tr’
འཁ,~kh+,[']k+,kh,kh,k’
འཁྱ,~khy+,[']c+,khy,khy,tch’i
འཁྲ,~thr+,[']tr+,tr,tr,tr’
ག,kh-,k,g,g,g
གྱ,khy-,c,gy,gy,dji
གྲ,thr-,tr,tr,tr,dr
གླ,l+,l,l,l,l
དག*,k-,[r]g,g,g,g
དགྱ,ky-,[r]j,gy,gy,dji
དགྲ,tr-,[r]dr,dr,dr,dr
བག*,k-,[b]g,g,g,g
བགྱ,ky-,[b]j,gy,gy,dji
བགྲ,tr-,[b]dr,dr,dr,dr
མག*,~k-,[m]g,g,g,g
མགྱ,~ky-,[m]j,gy,gy,dji
མགྲ,~tr-,[m]dr,dr,dr,dr
འག*,~k-,[']g,g,g,g
འགྱ,~ky-,[']j,gy,gy,dji
འགྲ,~tr-,[']dr,dr,dr,dr
རྒ,k-,[r]g,g,g,g
རྒྱ,ky-,[r]j,gy,gy,dji
ལྒ,k-,[l]g,g,g,g
སྒ,k-,[s]g,g,g,g
སྒྱ,ky-,[s]j,gy,gy,dji
སྒྲ,tr-,[s]dr,dr,dr,dr
བརྒ,k-,g,g,g,g
བརྒྱ,ky-,[b]j,gy,gy,dji
བསྒ,k-,[b]g,g,g,g
བསྒྱ,ky-,[b]j,gy,gy,dji
བསྒྲ,tr-,[b]dr,dr,dr,dr
ང,ng-,ng,ng,ng,ng
དང*,ng+,[r]ng,ng,ng,ng
མང*,~ng+,[m]ng,ng,ng,ng
རྔ,ng+,[r]ng,ng,ng,ng
ལྔ,ng+,[l]ng,ng,ng,ng
སྔ,ng+,[s]ng,ng,ng,ng
བརྔ,ng+,[b]ng,ng,ng,ng
བསྔ,ng+,[b]ng,ng,ng,ng
ཅ,c+,c,ch,c,tch
གཅ,c+,[r]c,ch,c,tch
བཅ,c+,[b]c,ch,c,tch
ལྕ,c+,[l]c,ch,c,tch
ཆ,ch+,c+,ch,ch,tch’
མཆ,~ch+,[m]c+,ch,ch,tch’
འཆ,~ch+,[b]c+,ch,ch,tch’
ཇ,ch-,c,j,j,dj
མཇ,~c-,[m]j,j,j,dj
འཇ,~c-,[']j,j,j,dj
རྗ,c-,[r]j,j,j,dj
ལྗ,~c-,[l]j,j,j,dj
བརྗ,c-,[b]j,j,j,dj
ཉ,ny-,ny,ny,ny,ny
གཉ,ny+,[r]ny,ny,ny,ny
