,a
འ,a:
ག,ak
གས,ak
ང,ang
ངས,ang~
ད,ä'
ན,än
བ,ap
བས,ap
མ,am
མས,am~
ལ,äl
འི,äj
འིའོ,a|i|o
འོ,a|o
འང,a|ang
འམ,a|am
ར,ar
ས,ä'
ི,i
ིག,ik
ིགས,ik
ིང,ing
ིངས,ing~
ིད,i'
ིན,in
ིབ,ip
ིབས,ip
ིམ,im
ིམས,im~
ིལ,il
ིའི,i:
ིའིའོ,i:|o
ིའོ,i|o
ིའང,i|ang
ིའམ,i|am
ིར,ir
ིས,i'
ུ,u
ུག,uk
ུགས,uk
ུང,ung
ུངས,ung~
ུད,ü'
ུན,ün
ུབ,up
ུབས,up
ུམ,um
ུམས,um~
ུལ,ül
ུའི,üj
ུའིའོ,u|i|o
ུའོ,u|o
ུའང,u|ang
ུའམ,u|am
ུར,ur
ུས,ü'
ེ,e
ེག,ek
ེགས,ek
ེང,eng
ེངས,eng~
ེད,e'
ེན,en
ེབ,ep
ེབས,ep
ེམ,em
ེམས,em~
ེལ,el
ེའི,ej
ེའིའོ,e|i|o
ེའོ,e|o
ེའང,e|ang
ེའམ,e|am
ེར,er
ེས,e'
ོ,o
ོག,ok
ོགས,ok
ོང,ong
ོངས,ong~
ོད,ö'
ོན,ön
ོབ,op
ོབས,op
ོམ,om
ོམས,om~
ོལ,öl
ོའི,öj
ོའིའོ,o|i|o
ོའོ,o|o
ོའང,o|ang
ོའམ,o|am
ོར,or
ོས,ö'
འུ,a|u
འུའི,u|i
འུའིའོ,u|i|o
འུའོ,u|o
འུའང,u|ang
འུའམ,u|am
འུར,ur
འུས,ü'
ིའུ,i|u
ིའུའི,i|u|i
ིའུའིའོ,i|u|i|o
ིའུའོ,i|u|o
ིའུའང,i|u|ang
ིའུའམ,i|u|am
ིའུར,i|ur
ིའུས,i|ü'
ུའུ,u|u
ུའུའི,u|u|i
ུའུའིའོ,u|u|i|o
ུའུའོ,u|u|o
ུའུའང,u|u|ang
ུའུའམ,u|u|am
ུའུར,u|ur
ུའུས,u|ü'
ེའུ,e|u
ེའུའི,e|u|i
ེའུའིའོ,e|u|i|o
ེའུའོ,e|u|o
ེའུའང,e|u|ang
ེའུའམ,e|u|am
ེའུར,e|ur
ེའུས,e|ü'
ོའུ,o|u
ོའུའི,o|u|i
ོའུའིའོ,o|u|i|o
ོའུའོ,o|u|o
ོའུའང,o|u|ang
ོའུའམ,o|u|am
ོའུར,o|ur
ོའུས,o|ü'
