ཀ,k+
ཀྱ,ky+
ཀྲ,tr+
ཀླ,l+
དཀ,k+
དཀྱ,ky+
དཀྲ,tr+
བཀ,k+
བཀྱ,ky+
བཀྲ,tr+
བཀླ,l+
རྐ,k+
རྐྱ,ky+
ལྐ,k+
སྐ,k+
སྐྱ,ky+
སྐྲ,tr+
བརྐ,k+
བརྐྱ,ky+
བསྐ,k+
བསྐྱ,ky-
བསྐྲ,tr+
ཁ,kh+/k+
ཁྱ,khy+/ky+
ཁྲ,thr+/tr+
མཁ,kh+/~k+
མཁྱ,khy+/~ky+
མཁྲ,thr+/~tr+
འཁ,kh+/~k+
འཁྱ,khy+/~ky+
འཁྲ,thr+/~tr+
ག,kh-/k-
གྱ,khy-/ky-
གྲ,thr-/tr-
གླ,l+
དག*,k-
དགྱ,ky-
དགྲ,tr-
བག*,k-
བགྱ,ky-
བགྲ,tr-
མག*,~k-
མགྱ,~ky-
མགྲ,~tr-
འག*,~k-
འགྱ,~ky-
འགྲ,~tr-
རྒ,k-
རྒྱ,ky-
ལྒ,k-
སྒ,k-
སྒྱ,ky-
སྒྲ,tr-
བརྒ,k-
བརྒྱ,ky-
བསྒ,k-
བསྒྱ,ky-
བསྒྲ,tr-
ང,ng-
དང*,ng+
མང*,~ng+
རྔ,ng+
ལྔ,ng+
སྔ,ng+
བརྔ,ng+
བསྔ,ng+
ཅ,c+
གཅ,c+
བཅ,c+
ལྕ,c+
ཆ,ch+/c+
མཆ,ch+/~c+
འཆ,ch+/~c+
ཇ,ch-/c-
མཇ,~c-
འཇ,~c-
རྗ,c-
ལྗ,c-
བརྗ,c-
ཉ,ny-
གཉ,ny+
མཉ,~ny+
རྙ,ny+
སྙ,ny+
བརྙ,ny+
བསྙ,ny+
ཏ,t+
གཏ,t+
བཏ,t+
རྟ,t+
ལྟ,t+
སྟ,t+
བརྟ,t+
བལྟ,t+
བསྟ,t+
ཐ,th+/t+
མཐ,th+/~t+
འཐ,th+/~t+
ད,th-/t-
དྲ,thr-/tr-
གད*,t-
བད*,t-
མད*,~t-
འད*,~t-
འདྲ,~tr-
རྡ,t-
ལྡ,t-
སྡ,t-
བརྡ,t-
བལྡ,t-
བསྡ,t-
ན,n-
གན*,n+
མན*,~n+
རྣ,n+
སྣ,n+
བརྣ,n+
བསྣ,n+
པ,p+
པྱ,c+
པྲ,tr+
དཔ,p+
དཔྱ,c+
དཔྲ,tr+
ལྤ,p+
སྤ,p+
སྤྱ,c+
སྤྲ,tr+
ཕ,ph+/p+
ཕྱ,ch+/c+
ཕྲ,thr+/tr+
འཕ,ph+/~p+
འཕྱ,ch+/~c+
འཕྲ,thr+/~tr+
བ,ph-/p-
བྱ,ch-/c-
བྲ,thr-/tr-
བླ,l+
དབ*,w+
དབྱ,y+
དབྲ,r+
འབ*,~p-
འབྱ,~c-
འབྲ,~tr-
རྦ,p-
ལྦ,p-
སྦ,p-
སྦྱ,c-
སྦྲ,tr-
མ,m-
མྱ,ny-
དམ*,m+
དམྱ,ny+
རྨ,m+
རྨྱ,ny+
སྨ,m+
སྨྱ,ny+
ཙ,ts+
གཙ,ts+
བཙ,ts+
རྩ,ts+
སྩ,ts+
བརྩ,ts+
བསྩ,ts+
ཚ,tsh+/ts+
མཚ,tsh+/~ts+
འཚ,tsh+/~ts+
ཛ,tsh-/ts-
མཛ,~ts-
འཛ,~ts-
རྫ,ts-
བརྫ,ts-
ཝ,w-
ཞ,sh-
གཞ,sh-
བཞ,sh-
ཟ,s-
ཟླ,t-
གཟ,s-
བཟ,s-
བཟླ,t-
འ,-
ཡ,y-
གཡ,y+
ར,r-
རླ,l+
བརླ,l+
ལ,l-
ཤ,sh+
གཤ,sh+
བཤ,sh+
ས,s+
སྲ,s+
སླ,l+
གས*,s+
བས*,s+
བསྲ,s+
བསླ,l+
ཧ,h+
ཧྲ,rh+/r+
ལྷ,lh+/l+
ཨ,+
བགླ,l+
མྲ,m+
སྨྲ,m+
ཏྲ,tr+
བརྟ,t+
ཐྲ,thr+/tr+
སྣྲ,n+
